Year,gdp_pc,pop_growth,gross_cap_growth,life_exp_pc,for_dir_pc,student_pc,unemp_chng,internet_chng,savings_pc,gdp,pop,gross_cap_form,life_exp,for_dir_inv,student_primary,unemployment,internet_use,gross_dom_sav,uran_prc,uran_pc
1991,,,,,,,,,,2996869281,1415617,462161796.1,62.098,-114076083.3,341701,-1.65338979996328,-9.21034037197618,312043682.1,8.45,-0.141817969827784
1992,0.134852634331939,0.0320257696605459,0.314207263427679,-0.00894516773938303,-0.0490420665131026,0.0216142321209496,-0.0170196694623008,0,0.477352985713061,3429521699,1461687,632779677.8,61.545,-119810064.1,349167,-1.67040946942558,-9.21034037197618,502952720.4,8.5625,0.0132257622192609
1993,-0.0534000808743365,0.0324084628891264,-0.241398160364266,-0.0111924700934347,0.944154528850341,0.0106344128995595,0.0107829154081966,0,-0.0859553893074434,3251188833,1509834,497066659.5,60.86,-46607112.62,352900,-1.65962655401739,-9.21034037197618,461527103.4,10.0770833333333,0.162871665332703
1994,0.120217767098008,0.0316913849081235,0.341092380064207,-0.0168015484493615,-0.803495718233155,0.040998346212227,0.0197294340985783,0,0.458758635168909,3666503530,1558449,699115888.9,59.846,-104089268.2,367669,-1.63989711991881,-9.21034037197618,730186087.7,9.42083333333333,-0.067340319985068
1995,0.0816699431992625,0.0296631636921685,0.0962663223264535,-0.0204598629120536,-0.408091069531316,0.00150294025635311,0.0983514735276272,0.480699412378318,-0.0575905050246952,3978514206,1605370,769763129.3,58.634,-156544442.7,368222,-1.54154564639118,-8.72964095959786,689322279.5,11.6645833333333,0.213633636510978
1996,0.00267304932219048,0.0274610275033798,0.059336122623872,-0.0297030975375119,0.040230405297244,0.0136320752493564,0.0658953437551806,0.162844886346642,-0.0365053727181355,3989163197,1650066,816820174.4,56.918,-150371596.9,373276,-1.475650302636,-8.56679607325122,664612084.3,15.6044444444444,0.290998588517055
1997,0.0407285256881806,0.0258297473472435,-0.103850681896784,-0.0241841154518969,0.509729233833536,0.0175662770689424,0.067110332568791,1.28435722114254,-0.153480618858072,4154989950,1693242,736248931.7,55.558,-90321931.93,379891,-1.40853997006721,-7.28243885210868,570049340.7,12.0978472222222,-0.254528252708985
1998,-0.0702522422444041,0.0249115076791853,0.161887593317658,-0.0265748501480423,-0.0856914472807908,0.0171077734037013,-0.0573605273706939,1.46238688468696,0.0279536666131897,3873109866,1735953,865628538.6,54.101,-98403045.79,386446,-1.4659004974379,-5.82005196742172,586209120.2,10.3871527777778,-0.152457788560887
1999,-0.00117756026149962,0.0240883758441726,-0.0870429856514008,-0.0198817417174859,1.57954094193358,-0.00826026863462914,-0.0635716333583145,0.154194293509995,-0.00243165648660337,3868551730,1778277,793467746.2,53.036,-20277883.61,383267,-1.52947213079622,-5.66585767391172,584785392.7,10.0152777783333,-0.0364580277320106
2000,0.0137807145596369,0.0227194936669282,-0.171517328339668,-0.019919535856848,-2.2069366870284,0.0159625287054226,-0.065077169144131,1.56433111095427,0.0722712194372299,3922232165,1819141,668405859.6,51.99,-184282056.9,389434,-1.59454929994035,-4.10152656295746,628613216.4,8.28459656166667,-0.189713750300426
