Year,gdp_pc,pop_growth,gross_cap_growth,life_exp_pc,for_dir_pc,unemp_chng,internet_chng,savings_pc,gdp,pop,gross_cap_form,life_exp,for_dir_inv,unemployment,internet_use,gross_dom_sav
1991,,,,,,,,,6.15813e+12,252981000,1.23844e+12,75.36585366,1.472e+10,-2.68824757380603,-4.44544047564802,1.20982e+12
1992,0.057151828124951,0.0138688569247947,0.0555026326855952,0.00332779006358042,0.659292479360975,0.0979804083602036,0.390817965695438,0.051996044540882,6.52033e+12,256514000,1.30912e+12,75.61707317,2.846e+10,-2.59026716544583,-4.05462250995259,1.27439e+12
1993,0.0505725190119577,0.0131867999977722,0.0661952275146263,-0.00261606924161661,0.134892026626435,-0.0833816089390509,0.274361398634478,0.0453694276874863,6.85856e+12,259919000,1.39871e+12,75.4195122,3.257e+10,-2.67364877438488,-3.78026111131811,1.33354e+12
1994,0.0606273663435033,0.012262960888684,0.103130263479404,0.00264832373869162,0.044438413307379,-0.119959315078979,0.758755671761125,0.089345164428476,7.28724e+12,263126000,1.55066e+12,75.6195122,3.405e+10,-2.79360808946386,-3.02150543955698,1.45817e+12
1995,0.0472400066198127,0.0119078709090203,0.0469379321250862,3.22533245187273e-05,0.185254110215233,-0.0799065513658852,0.640643976837308,0.0516217343794097,7.63975e+12,266278000,1.62518e+12,75.62195122,4.098e+10,-2.87351464082974,-2.38086146271968,1.53542e+12
1996,0.0551751445351485,0.0116341161998186,0.0751451213824552,0.00533969360904329,-2.03412016772804,-0.0360399364831969,0.574760826386295,0.0753836817773959,8.07312e+12,269394000,1.75201e+12,76.02682927,5.36e+09,-2.90955457731294,-1.80610063633338,1.65564e+12
1997,0.0606083002726976,0.0120396029701269,0.0927118655053292,0.00527942091109157,-42.8641308848411,-0.0861776962410521,0.274845285804676,0.0947807195009318,8.57755e+12,272657000,1.92221e+12,76.42926829,-7.7e+08,-2.99573227355399,-1.5312553505287,1.82024e+12
1998,0.0550320049644313,0.0116571452642589,0.0792143914640207,0.00197660022600044,-3.85565877575847,-0.103140758919514,0.330716529660051,0.0522937606596905,9.06282e+12,275854000,2.08067e+12,76.5804878,-3.639e+10,-3.0988730324735,-1.20053882086865,1.91796e+12
1999,0.0608243838549534,0.0114834004729047,0.080699454906199,3.18487284465263e-05,-0.579539258688289,-0.0664620254666666,0.174955532430499,0.0398780466702569,9.63117e+12,279040000,2.25554e+12,76.58292683,-6.4964e+10,-3.16533505794017,-1.02558328843815,1.99599e+12
2000,0.0623607928506651,0.0111276899679531,0.0733736370123772,0.000700413954112911,-0.918412732270617,-0.0560438971461479,0.183684621073952,0.0248344723426328,1.02509e+13,282162411,2.42726e+12,76.63658537,-1.62755e+11,-3.22137895508632,-0.841898667364203,2.04618e+12
2001,0.0317794878199962,0.00989741382223741,-0.0337401793743766,0.00260632020894214,1.81680082622688,0.170133971602069,0.130400769412592,-0.0379512497852161,1.05819e+13,284968955,2.34673e+12,76.83658537,-2.6455e+10,-3.05124498348425,-0.71149789795161,1.96998e+12
2002,0.0322839621928104,0.00927797485710258,0.0115913363941083,0.00130061718329078,48.9404546134521,0.200478480180445,0.180391398506911,-0.0182520376778754,1.09291e+13,287625193,2.37409e+12,76.93658537,6.793e+10,-2.85076650330381,-0.531106499444699,1.93435e+12
2003,0.0471195691892028,0.00859481712841159,0.0481824284517529,0.00129892777526752,0.13966593100734,0.0356877294430715,0.04833558812079,0.0179118748533753,1.14564e+13,290107933,2.49128e+12,77.03658537,7.8112e+10,-2.81507877386073,-0.482770911323909,1.96931e+12
2004,0.0642962691091604,0.00925483968943297,0.105133297398456,0.00584012390211885,0.719296301295973,-0.0799035965931143,0.04841633953316,0.0799915365481034,1.22172e+13,292805298,2.76746e+12,77.48780488,1.60363e+11,-2.89498237045385,-0.434354571790749,2.13331e+12
2005,0.0651154100042746,0.00921713167161187,0.0965589866405772,0,-51.0210331223929,-0.084876553943853,0.0483692877069237,0.0787542436843935,1.30392e+13,295516599,3.04801e+12,77.48780488,-8.9753e+10,-2.9798589243977,-0.385985284083826,2.30811e+12
